sofifa_id,nationality,club_name,league_name
158023,Argentina,FC Barcelona,Spain Primera Division
20801,Portugal,Juventus,Italian Serie A
200389,Slovenia,Atlético Madrid,Spain Primera Division
188545,Poland,FC Bayern München,German 1. Bundesliga
190871,Brazil,Paris Saint-Germain,French Ligue 1
192985,Belgium,Manchester City,English Premier League
231747,France,Paris Saint-Germain,French Ligue 1
192448,Germany,FC Barcelona,Spain Primera Division
203376,Netherlands,Liverpool,English Premier League
212831,Brazil,Liverpool,English Premier League
208722,Senegal,Liverpool,English Premier League
209331,Egypt,Liverpool,English Premier League
192119,Belgium,Real Madrid,Spain Primera Division
153079,Argentina,Manchester City,English Premier League
155862,Spain,Real Madrid,Spain Primera Division
165153,France,Real Madrid,Spain Primera Division
167495,Germany,FC Bayern München,German 1. Bundesliga
200145,Brazil,Real Madrid,Spain Primera Division
210257,Brazil,Manchester City,English Premier League
202652,England,Manchester City,English Premier League
212622,Germany,FC Bayern München,German 1. Bundesliga
202126,England,Tottenham Hotspur,English Premier League
211110,Argentina,Juventus,Italian Serie A
162835,Slovenia,Inter,Italian Serie A
182521,Germany,Real Madrid,Spain Primera Division
183277,Belgium,Real Madrid,Spain Primera Division
201024,Senegal,Napoli,Italian Serie A
215914,France,Chelsea,English Premier League
233049,England,Borussia Dortmund,German 1. Bundesliga
231281,England,Liverpool,English Premier League
212198,Portugal,Manchester United,English Premier League
212218,France,Manchester City,English Premier League
209499,Brazil,Liverpool,English Premier League
216267,Scotland,Liverpool,English Premier League
218667,Portugal,Manchester City,English Premier League
138956,Italy,Juventus,Italian Serie A
167948,France,Tottenham Hotspur,English Premier League
176580,Uruguay,FC Barcelona,Spain Primera Division
177003,Croatia,Real Madrid,Spain Primera Division
183898,Argentina,Paris Saint-Germain,French Ligue 1
186153,Poland,Juventus,Italian Serie A
188567,Gabon,Arsenal,English Premier League
189511,Spain,FC Barcelona,Spain Primera Division
192387,Italy,Lazio,Italian Serie A
193041,Costa Rica,Paris Saint-Germain,French Ligue 1
194765,France,FC Barcelona,Spain Primera Division
200104,Korea Republic,Tottenham Hotspur,English Premier League
201942,Brazil,Liverpool,English Premier League
201535,France,Real Madrid,Spain Primera Division
195864,France,Manchester United,English Premier League
199556,Italy,Paris Saint-Germain,French Ligue 1
143076,Argentina,Atalanta,Italian Serie A
152729,Spain,FC Barcelona,Spain Primera Division
168542,Spain,Real Sociedad,Spain Primera Division
177683,Switzerland,Borussia Mönchengladbach,German 1. Bundesliga
178603,Germany,Borussia Dortmund,German 1. Bundesliga
183711,England,Liverpool,English Premier League
189332,Spain,FC Barcelona,Spain Primera Division
189596,Germany,FC Bayern München,German 1. Bundesliga
193080,Spain,Manchester United,English Premier League
204963,Spain,Real Madrid,Spain Primera Division
208830,England,Leicester City,English Premier League
235790,Germany,Chelsea,English Premier League
230621,Italy,Milan,Italian Serie A
235243,Netherlands,Juventus,Italian Serie A
231677,England,Manchester United,English Premier League
222492,Germany,FC Bayern München,German 1. Bundesliga
228702,Netherlands,FC Barcelona,Spain Primera Division
207865,Brazil,Paris Saint-Germain,French Ligue 1
220440,France,FC Barcelona,Spain Primera Division
223848,Serbia,Lazio,Italian Serie A
232363,Slovakia,Inter,Italian Serie A
202556,Netherlands,Olympique Lyonnais,French Ligue 1
212188,Germany,Chelsea,English Premier League
231866,Spain,Manchester City,English Premier League
192563,Germany,Arsenal,English Premier League
